0,統計年,區域別,年底人口數,土地面積,人口密度
95,106,臺南市佳里區,59380,38.9422,1525
96,106,臺南市學甲區,26078,53.9919,483
97,106,臺南市西港區,24758,33.7666,733
98,106,臺南市七股區,22974,110.1492,209
99,106,臺南市將軍區,19849,41.9796,473
100,106,臺南市北門區,11188,44.1003,254
101,106,臺南市新化區,43630,62.0579,703
102,106,臺南市善化區,48386,55.3097,875
103,106,臺南市新市區,36574,47.8096,765
104,106,臺南市安定區,30564,31.27,977
105,106,臺南市山上區,7314,27.878,262
106,106,臺南市玉井區,14151,76.3662,185
107,106,臺南市楠西區,9717,109.6316,89
108,106,臺南市南化區,8787,171.5198,51
109,106,臺南市左鎮區,4876,74.9025,65
110,106,臺南市仁德區,75518,50.7664,1488
111,106,臺南市歸仁區,68424,55.7913,1226
112,106,臺南市關廟區,34433,53.6413,642
113,106,臺南市龍崎區,4038,64.0814,63
114,106,臺南市永康區,233905,40.2753,5808
115,106,臺南市東區,186841,13.4156,13927
116,106,臺南市南區,125394,27.2681,4599
117,106,臺南市北區,132726,10.434,12721
118,106,臺南市安南區,192224,107.2016,1793
119,106,臺南市安平區,66496,11.0663,6009
120,106,臺南市中西區,77770,6.26,12423
121,106,高雄市鹽埕區,24219,1.4161,17103
122,106,高雄市鼓山區,139259,14.7523,9440
123,106,高雄市左營區,197072,19.3823,10168
124,106,高雄市楠梓區,183751,25.8276,7115
125,106,高雄市三民區,343243,19.7866,17347
126,106,高雄市新興區,51153,1.9764,25882
127,106,高雄市前金區,26991,1.8573,14532
128,106,高雄市苓雅區,171033,8.1522,20980
129,106,高雄市前鎮區,189839,19.1207,9928
130,106,高雄市旗津區,28763,1.4639,19648
131,106,高雄市小港區,157475,45.4426,3465
132,106,高雄市鳳山區,359120,26.759,13421
133,106,高雄市林園區,69990,32.286,2168
134,106,高雄市大寮區,112397,71.04,1582
135,106,高雄市大樹區,42757,66.9811,638
136,106,高雄市大社區,34577,26.5848,1301
137,106,高雄市仁武區,85894,36.0808,2381
138,106,高雄市鳥松區,44291,24.5927,1801
139,106,高雄市岡山區,97329,47.9421,2030
140,106,高雄市橋頭區,37579,25.9379,1449
141,106,高雄市燕巢區,29922,65.395,458
142,106,高雄市田寮區,7245,92.6802,78
143,106,高雄市阿蓮區,28844,34.6164,833
144,106,高雄市路竹區,52761,48.4348,1089
