溪流分級,主管機關,河川代碼,溪流名稱,"重名
數量",溪流wikiID,別名,上級,"所在縣市
（以 ,分隔）","縣市
wikidata ID","所在鄉鎮區
（以 ,分隔）",鄉鎮區wiki ID,水系,"流入水域
（wikiID)",流入,"主流
or
支流",,
,,,北港溪,30,,,,嘉義縣,,溪口鄉,,,,,支流,,
,,,北港溪,30,,,,新北市,,汐止區,,,,,主流,,
,,,北港溪,30,,,,新北市,,,,,,,,,
,,,北港溪,30,,,,,,,,,,,,,
,,,北港溪,30,,,,,,,,,,,,,
,,,北港溪,30,,,,,,,,,,,,,
,,,北港溪排水幹線─1,1,,,,南投縣,,國姓,,,,北港溪,,縣(市)管區域排水,
,,,北港溪排水幹線─2,1,,,,南投縣,,國姓,,,,北港溪,,縣(市)管區域排水,
,,,北港溪排水幹線─3,1,,,,南投縣,,國姓,,,,北港溪,,縣(市)管區域排水,
,,,北港溪排水幹線─4,1,,,,南投縣,,國姓,,,,北港溪,,縣(市)管區域排水,
,,,北港溪排水幹線─5,1,,,,南投縣,,國姓,,,,北港溪,,縣(市)管區域排水,
,,,北絲鬮溪,4,,,,臺東縣,,延平鄉,,,,,支流,,
,,,北絲鬮溪,4,,,,高雄市,,茂林區,,,,,支流,,
,,,北絲鬮溪,4,,,,臺東縣,,海端鄉,,,,,支流,,
,,,北絲鬮溪,4,,,,臺東縣,,延平鄉,,,,,主流,,
,,,北勢坑,11,,,,宜蘭縣,,頭城鎮,,三份坑,,,,,
,,,北勢坑,11,,,,臺南市,,六甲區,,,,,主流,,
,,,北勢坑,11,,,,雲林縣,,斗六市,,,,,主流,,
,,,北勢坑,11,,,,臺南市,,六甲區,,,,,支流,,
,,,北勢坑,11,,,,雲林縣,,斗六市,,,,,支流,,
,,,北勢坑,11,,,,南投縣,,草屯鎮,,,,,支流,,
,,,北勢坑,11,,,,新北市,,貢寮區,,,,,支流,,
,,,北勢坑,11,,,,彰化縣,,彰化市,,,,,支流,,
,,,北勢坑,11,,,,宜蘭縣,,頭城鎮,,,,,支流,,
,,,北勢坑,11,,,,南投縣,,草屯鎮,,,,,主流,,
,,,北勢坑,11,,,,新北市,,貢寮區,,,,,主流,,
,,,北勢坑溪,5,,,,新北市,,五股區,,,,觀音坑溪直排,,直轄市管區域排水,
,,,北勢坑溪,5,,,,高雄市,,甲仙區,,,,,主流,,
,,,北勢坑溪,5,,,,新北市,,五股區,,,,,支流,,
,,,北勢坑溪,5,,,,高雄市,,甲仙區,,,,,支流,,
,,,北勢坑溪,5,,,,新北市,,五股區,,,,,主流,,
,,,北勢埤,1,,,,臺南市,,新化區,,,,,主流,,
,,,北勢埤排水幹線,1,,,,屏東縣,,竹田鄉,,,,東港溪,,縣(市)管區域排水,
,,,北勢排水,1,,,,新竹縣,,湖口鄉、新豐鄉,,,,新豐溪,,縣(市)管區域排水,
,,,北勢湳水泄支線,1,,,,南投縣,,草屯,,,,吊湖溝,,縣(市)管區域排水,
縣市管河川,,178000,北勢溪,31,N/A,,,屏東縣,,枋寮鄉,,北勢溪(屏東),,,,,
跨省市河川,,114021,北勢溪,31,Q3637532,,,新北市,,"雙溪區,坪林區,石碇區,新店區",,淡水河(新店溪),,,,,
,,,北勢溪,31,,,,臺中市,,沙鹿區、梧棲區,,,,安良港排水,,直轄市管區域排水,
,,,北勢溪,31,,,,新北市,,淡水區,,北勢溪,,台灣海峽,,,
,,,北勢溪,31,,,,臺中市,,沙鹿區,,,,,主流,,
,,,北勢溪,31,,,,屏東縣,,枋寮鄉,,,,,主流,,
,,,北勢溪,31,,,,屏東縣,,春日鄉,,,,,主流,,
,,,北勢溪,31,,,,南投縣,,竹山鎮,,,,,主流,,
,,,北勢溪,31,,,,南投縣,,鹿谷鄉,,,,,主流,,
,,,北勢溪,31,,新港溪,,,,,,,,,,,
,,,北勢溪,31,,,,新竹縣,,湖口鄉,,,,,主流,,
,,,北勢溪,31,,,,新北市,,石碇區,,,,,主流,,
,,,北勢溪,31,,,,新北市,,新店區,,,,,主流,,
,,,北勢溪,31,,,,新北市,,三芝區,,,,,支流,,
,,,北勢溪,31,,,,新北市,,石碇區,,,,,支流,,
,,,北勢溪,31,,,,臺中市,,沙鹿區,,,,,支流,,
,,,北勢溪,31,,,,新北市,,坪林區,,,,,支流,,
,,,北勢溪,31,,,,屏東縣,,枋寮鄉,,,,,支流,,
,,,北勢溪,31,,,,屏東縣,,春日鄉,,,,,支流,,
,,,北勢溪,31,,,,南投縣,,鹿谷鄉,,,,,支流,,
,,,北勢溪,31,,,,新竹縣,,湖口鄉,,,,,支流,,
,,,北勢溪,31,,,,新北市,,新店區,,,,,支流,,
,,,北勢溪,31,,,,桃園市,,楊梅區,,,,,支流,,
,,,北勢溪,31,,,,新北市,,雙溪區,,,,,支流,,
,,,北勢溪,31,,,,新北市,,坪林區,,,,,主流,,
,,,北勢溪,31,,,,新北市,,雙溪區,,,,,主流,,
,,,北勢溪,31,,,,,,,,,,,,,
,,,北勢溪,31,,,,,,,,,,,,,
,,,北勢溪,31,,,,,,,,,,,,,
,,,北勢溪,31,,,,,,,,,,,,,
,,,北勢溪,31,,,,,,,,,,,,,
,,,北勢溪(新港溪),2,,,,苗栗縣,,後龍鎮,,,,,主流,,
,,,北勢溪(新港溪),2,,,,苗栗縣,,後龍鎮,,,,,支流,,
,,,北勢溪排水,4,,,,苗栗縣,,後龍鎮、造橋鄉,,,,後龍溪,,縣(市)管區域排水,
,,,北勢溪排水,4,,,,苗栗縣,,造橋鄉,,,,,支流,,
,,,北勢溪排水,4,,,,苗栗縣,,後龍鎮,,,,,主流,,
,,,北勢溪排水,4,,,,苗栗縣,,造橋鄉,,,,,主流,,
,,,北勢窩溪,2,,,,苗栗縣,,通霄鎮,,,,,支流,,
,,,北勢窩溪,2,,,,苗栗縣,,通霄鎮,,,,,主流,,
,,,北勢寮排水幹線,1,,,,屏東縣,,枋寮鄉,,,,台灣海峽,,縣(市)管區域排水,
,經濟部水利署第三河川局,,北勢寮溪,1,,,,,,,,,,,,,
,,,北幹線支線,1,,,,苗栗縣,,公館鄉,,,,公館排水,,縣(市)管區域排水,
,,,北溝支線,1,,,,臺中市,,霧峰區,,,,北溝溪排水,,直轄市管區域排水,
,,,北溝排水,1,,,,高雄市,,永安區,,,,台灣海峽(興達港),,直轄市管區域排水,
中央管河川,,14305B,北溝溪,5,Q32475227,,,臺中市,,霧峰區,,烏溪,,,,,
,,,北溝溪,5,,,,臺中市,,大里區,,,,,主流,,
,,,北溝溪,5,,,,臺中市,,霧峰區,,,,,支流,,
,,,北溝溪,5,,,,臺中市,,霧峰區,,,,,主流,,
,經濟部水利署第三河川局,,北溝溪,5,,,,,,,,,,,,,
,,,北溝溪排水,1,,,,臺中市,,霧峰區,,,,草湖溪,,直轄市管區域排水,
,,,北溪,3,,,,臺東縣,,池上鄉,,,,,支流,,
,,,北溪,3,,,,臺東縣,,東河鄉,,,,,支流,,
,,,北溪,3,,,,臺東縣,,東河鄉,,,,,主流,,
,,,北窩排水,1,,,,新竹縣,,湖口鄉,,,,北勢排水,,縣(市)管區域排水,
,,,北寮坑溪,2,,,,南投縣,,埔里鎮,,,,,支流,,
,,,北寮坑溪,2,,,,,,,,,,,,,
,,,北寮溪,5,,,,臺南市,,東山區、白河區,,急水溪,,,,,
,,,北寮溪,5,,,,臺南市,,白河區,,,,,主流,,
,,,北寮溪,5,,,,臺南市,,東山區,,,,,主流,,
,,,北寮溪,5,,,,臺南市,,白河區,,,,,支流,,
,,,北寮溪,5,,,,臺南市,,東山區,,,,,支流,,
,,,北學甲排水,1,,,,臺南市,,學甲區,,,,頭港排水,,直轄市管區域排水,
,,,北嶺墘排水,1,,,,高雄市,,路竹區,,,,土庫排水,,直轄市管區域排水,
,,,北麒麟溪,1,,,,,,,,,,,,,
,,,半山坑排水,2,,,,南投縣,,南投市,,,,,支流,,
,,,半山坑排水,2,,,,南投縣,,南投市,,,,,主流,,
,,,半山坑排水幹線(崩溝),1,,,,南投縣,,南投,,,,三塊厝排水,,縣(市)管區域排水,
,,,半屏溪,2,,,,臺東縣,,成功鎮,,,,,支流,,
,,,半屏溪,2,,,,臺東縣,,成功鎮,,,,,主流,,
,,,半嶺溪,2,,,,嘉義縣,,番路鄉,,,,,主流,,
,,,半嶺溪,2,,,,嘉義縣,,番路鄉,,,,,支流,,
,,,卡丹溪,2,,,,屏東縣,,"新埤鄉,來義鄉",,,,,主流,,
,,,卡丹溪,2,,,,屏東縣,,"新埤鄉,來義鄉",,,,,支流,,
,,,卡布里娃欄溪,2,,,,屏東縣,,春日鄉,,,,,主流,,
,,,卡布里娃欄溪,2,,,,屏東縣,,春日鄉,,,,,支流,,
,,,卡拉溪,1,,,,桃園市,,復興區,,,,,支流,,
,,,卡社北溪,1,,,,,,,,,,,,,
中央管河川,,151050,卡社溪,6,Q6374222,,,南投縣,,"信義鄉,仁愛鄉",,濁水溪,,,,,
,,,卡社溪,6,,,,南投縣,,仁愛鄉,,,,,支流,,
,,,卡社溪,6,,,,南投縣,,信義鄉,,,,,支流,,
,,,卡社溪,6,,,,南投縣,,信義鄉,,,,,主流,,
,,,卡社溪,6,,,,,,,,,,,,,
,,,卡社溪,6,,,,,,,,,,,,,
,,,卡南溪,1,,,,宜蘭縣,,南澳鄉,,南澳溪,,南澳南溪,,,
,,,卯舍中排,1,,,,臺南市,,新營區,,,,鹽水排水,,直轄市管區域排水,
,,,古井坑,2,,,,彰化縣,,花壇鄉,,,,,主流,,
,,,古井坑,2,,,,彰化縣,,花壇鄉,,,,,支流,,
,,,古老埤,1,,,,雲林縣,,古坑鄉,,,,,支流,,
,,,古拉溪,1,,庫拉濃溪,,臺東縣,,金峰鄉,,,,,支流,,
,,,古風排水,1,,,,花蓮縣,,卓溪鄉,,,,秀姑巒溪,,縣(市)管區域排水,
,林務局花蓮處,,古風溪,1,,,,花蓮縣富里鄉,,,,秀姑巒溪,,,,,
,,,古區區排(浚仔溝區排),1,,,,金門縣,,金城鎮,,,,,,縣(市)管區域排水,
,,,古崗湖區排,1,,,,金門縣,,金城鎮,,,,台灣海峽,,縣(市)管區域排水,
,,,古楓溪,3,,,,花蓮縣,,卓溪鄉,,,,,支流,,
,,,古楓溪,3,,,,花蓮縣,,卓溪鄉,,,,,主流,,
,,,古楓溪,3,,,,花蓮縣,,富里鄉,,,,,主流,,
,,,叭嗹溪,2,,,,新北市,,汐止區,,,,基隆河,,直轄市管區域排水,
,,,叭嗹溪,2,,,,,,,,,,,,,
,,,可可亞溪,1,,,,,,,,,,,,,
,,,台牛坑,1,,,,南投縣,,埔里鎮,,,,,支流,,
,,,台牛溪,2,,,,屏東縣,,恆春鎮,,,,,支流,,
,,,台牛溪,2,,,,屏東縣,,恆春鎮,,,,,主流,,
,,,台板溪,1,,,,臺東縣,,達仁鄉,,,,,支流,,
,,,台南運河,3,,,,臺南市,,安平區,,,,,主流,,
,,,台南運河,3,,,,臺南市,,南區,,,,,主流,,
,,,台南運河,3,,,,臺南市,,中西區,,,,,主流,,
,,,史港坑排水幹線,1,,,,南投縣,,埔里,,,,眉溪,,縣(市)管區域排水,
,,,史港坑排水幹線─1,1,,,,南投縣,,埔里,,,,史港坑排水,,縣(市)管區域排水,
,,,史港溪,2,,,,南投縣,,埔里鎮,,,,,主流,,
,,,史港溪,2,,,,南投縣,,埔里鎮,,,,,支流,,
中央管河川,,142020,司界蘭溪,1,Q10916567,"四季郎溪,蘇七蘭溪,Skilan",,臺中市,,和平區,,大甲溪,,大甲溪,,,
,,,司馬按溪,1,,,,南投縣,,魚池鄉,,,,公林溪,支流,,
,,,四十棟排水,1,,,,雲林縣,,麥寮鄉,,,,海豐中排,,縣(市)管區域排水,
跨省市河川,,11403E,四分溪,6,Q18111310,,,臺北市,,南港區,,淡水河(基隆河),,,,,
,,,四分溪,6,,,,臺北市,,,,,,大坑溪,,直轄市管區域排水,
,,,四分溪,6,,,,臺北市,,南港區,,,,,支流,,
,,,四分溪,6,,,,臺北市,,南港區,,,,,主流,,
,,,四分溪,6,,,,新北市,,汐止區,,,,,主流,,
,,,四分溪,6,,,,,,,,,,,,,
,,,四好溪排水幹線,1,,,,臺中市,,大甲區,,,,台灣海峽,,直轄市管區域排水,
,,,四好橋溝,2,,,,臺中市,,大甲區,,,,,主流,,
,,,四好橋溝,2,,,,臺中市,,大甲區,,,,,支流,,
,,,四坑,2,,,,宜蘭縣,,三星鄉,,,,,支流,,
,,,四坑,2,,,,宜蘭縣,,大同鄉,,,,,支流,,
,,,四角林溪,1,,,,臺中市,,東勢區,,大安溪,,大安溪,,,
,,,四季坑排水,1,,,,苗栗縣,,銅鑼鄉,,,,西湖溪,,縣(市)管區域排水,
,,,四季郎溪,1,"司界蘭溪,蘇七蘭溪",,,臺中市,,和平區,,大甲溪,,大甲溪,主流,,
,,,四季溪,1,,,,宜蘭縣,,大同鄉,,,,,支流,,
中央管河川,,185000,四重溪,5,Q10925394,,,屏東縣,,"牡丹鄉,車城鄉",,四重溪,,,,,
中央管河川,第一河川局,2560O0,四重溪,5,#N/A,,,宜蘭縣,,大同鄉四季部落,,蘭陽溪,,,,,
,第一河川局,,四重溪,5,,,,宜蘭,,,,蘭陽溪,,,,,
,,,四重溪,5,,,,屏東縣,,"車城鄉,牡丹鄉",,,,,支流,,
,,,四重溪,5,,,,屏東縣,,"車城鄉,牡丹鄉",,,,,主流,,
,,,四重歷溪,1,,,,新竹縣,,竹東鎮,,,,,支流,,
,,,四草內海,1,,,,臺南市,,安南區,,,,,主流,,
,,,四區溪,1,,,,南投縣,,信義鄉,,,,,支流,,
,,,四堵溪,2,,,,新北市,,坪林區,,,,,支流,,
,,,四堵溪,2,,,,新北市,,坪林區,,,,,主流,,
,,,四湖大排,1,,,,雲林縣,,口湖鄉、四湖鄉,,,,牛挑灣溪,,縣(市)管區域排水,
,,,四湖支線,1,,,,"桃園縣,新竹縣",,,,,,德盛溪排水,,中央管區域排水,
,,,四湖坑,1,,,,臺南市,,六甲區,,,,,主流,,
,,,四湖溪,2,,,,新竹縣,,湖口鄉,,,,,支流,,
,,,四湖溪,2,,,,桃園市,,楊梅區,,,,,支流,,
,,,四結排水,1,,,,宜蘭縣,,五結鄉,,,,五結排水,,縣(市)管區域排水,
,,,四塊厝圳支線,1,,,,"台中縣,台中市",,,,,,港尾子溪排水,,中央管區域排水,
,,,四溝水圳,1,,,,屏東縣,,萬巒鄉,,,,,支流,,
,,,四溝水圳一線,1,,,,屏東縣,,萬巒鄉,,,,,支流,,
,,,四溝水圳二線,1,,,,屏東縣,,萬巒鄉,,,,,支流,,
,,,四溝排水支線,1,,,,屏東縣,,恆春鎮,,,,東門溪排水幹線,,縣(市)管區域排水,
,,,四號溪,1,,,,南投縣,,信義鄉,,,,,支流,,
,,,四窩溪排水,1,,,,苗栗縣,,通霄鎮,,,,台灣海峽,,縣(市)管區域排水,
,,,四寮坪圳,1,,,,苗栗縣,,大湖鄉,,,,,支流,,
,,,四線橋圳,1,,,,新北市,,三芝區,,,,,支流,,
,,,圣子坑,2,,,,雲林縣,,古坑鄉,,,,,主流,,
,,,圣子坑,2,,,,雲林縣,,古坑鄉,,,,,支流,,
,,,圣田溝,1,,,,高雄市,,田寮區,,,,,支流,,
,,,圣坑,1,,,,臺南市,,官田區,,,,,主流,,
,,,圣埤,1,,,,桃園市,,蘆竹區,,,,,主流,,
,,,外六寮排水,1,,,,"高雄縣,屏東縣",,,,,,旗山溪,,中央管區域排水,
,,,外股排水支線,1,,,,新北市,,深坑區,,,,景美溪,,直轄市管區域排水,
,,,外垵1號排水路,1,,,,澎湖縣,,西嶼鄉,,,,台灣海峽,,縣(市)管區域排水,
,,,外垵2號排,1,,,,澎湖縣,,西嶼鄉,,,,外垵1號排水水路,,縣(市)管區域排水,
,,,外垵3號排水路,1,,,,澎湖縣,,西嶼鄉,,,,台灣海峽,,縣(市)管區域排水,
,,,外垵4號排水路,1,,,,澎湖縣,,西嶼鄉,,,,台灣海峽,,縣(市)管區域排水,
,,,外埔大排,2,,,,雲林縣,,口湖鄉,,,,羊稠厝大排,,縣(市)管區域排水,
,,,外埔大排,2,,,,苗栗縣,,後龍鎮,,,,台灣海峽,,縣(市)管區域排水,
,,,外埔排水,1,,,,高雄市,,大社區,,,,楠梓溪排水,,直轄市管區域排水,
,,,外埔第二排水,1,,,,臺中市,,外埔區,,,,溫寮溪,,直轄市管區域排水,
,,,外埔第三排水,1,,,,臺中市,,外埔區,,,,溫寮溪,,直轄市管區域排水,
,,,外湖溪,4,,,,雲林縣,,斗六市,,,,北港溪,,縣(市)管區域排水,
,,,外湖溪,4,,,,雲林縣,,斗六市,,,,,主流,,
,,,外湖溪,4,,,,雲林縣,,林內鄉,,,,,主流,,
,,,外湖溪,4,,,,雲林縣,,斗六市,,,,,支流,,
,,,外塭子中排二,1,,,,臺南市,,安南區,,,,安順寮排水,,直轄市管區域排水,
,,,外溪洲排水路,1,,,,嘉義縣,,水上鄉,,,,八掌溪,,縣(市)管區域排水,
,,,外轆排水幹線,1,,,,南投縣,,南投,,,,貓羅溪,,縣(市)管區域排水,
跨省市河川,,11403T,外雙溪,5,Q10932409,,,臺北市,,"北投區,士林區",,淡水河(基隆河),,,,,
,,,外雙溪,5,,,,臺北市,,北投區,,,,,主流,,
,,,外雙溪,5,,,,臺北市,,士林區,,,,,主流,,
,,,外雙溪,5,,,,臺北市,,士林區,,,,,支流,,
,,,外雙溪,5,,,,,,,,,,,,,
,,,尼埤圳排水幹線,1,,,,屏東縣,,內埔鄉,,,,東港溪,,縣(市)管區域排水,
,,,布布爾溪,1,,,,南投縣,,仁愛鄉,,,,,支流,,
,,,布由巒溪,1,,,,屏東縣,,牡丹鄉,,,,,支流,,
,,,布拉布拉溪,1,,,,臺東縣,,太麻里鄉,,,,,支流,,
,,,布唐布瓦那斯東溪,1,,,,,,,,,,,,,
,,,布唐布那斯溪,1,,,,,,,,荖濃溪,,,,,
,,,布唐薩諾阿爾溪,1,,,,,,,,荖濃溪,,,,,
,第一河川局,,布蕭丸溪,3,,,,,,,,和平溪,,和平北溪,支流,,
,,,布蕭丸溪,3,,,,宜蘭縣,,大同鄉,,,,,支流,,
,,,布蕭丸溪,3,,,,宜蘭縣,,南澳鄉,,,,,支流,,
,,,平山坑排水,2,,,,南投縣,,南投市,,,,,支流,,
,,,平山坑排水,2,,,,南投縣,,南投市,,,,,主流,,
,,,平山坑排水幹線,1,,,,南投縣,,南投,,,,貓羅溪,,縣(市)管區域排水,
,,,平行水路排水,1,,,,宜蘭縣,,五結鄉,,,,冬山河,,縣(市)管區域排水,
,,,平坑,3,,,,臺南市,,南化區,,,,,主流,,
,,,平坑,3,,,,高雄市,,甲仙區,,,,,支流,,
,,,平坑,3,,,,臺南市,,南化區,,,,,支流,,
,,,平和1號排水路,1,,,,澎湖縣,,七美鄉,,,,台灣海峽,,縣(市)管區域排水,
,,,平和大排,1,,,,南投縣,,南投市,,,,,主流,,
,,,平和農場排水,1,,,,花蓮縣,,壽豐鄉,,,,荖溪,,縣(市)管區域排水,
,,,平林第三排水,1,,,,花蓮縣,,鳳林鎮,,,,花蓮溪,,縣(市)管區域排水,
中央管河川,,143041,平林溪,7,#N/A,,,南投縣,,中寮鄉,,烏溪,,,,,
,,,平林溪,7,,,,南投縣,,中寮鄉,,,,,主流,,
,,,平林溪,7,,,,南投縣,,南投市,,,,,主流,,
,,,平林溪,7,,,,南投縣,,中寮鄉,,,,,支流,,
,,,平林溪,7,,,,南投縣,,南投市,,,,,支流,,
,,,平林溪,7,,,,新北市,,雙溪區,,,,,支流,,
,,,平林溪,7,,,,新北市,,雙溪區,,,,,主流,,
,,,平頂溪,1,,,,雲林縣,,林內鄉,,,,,支流,,
,,,平廣溪,3,,,,新北市,,新店區,,,,,支流,,
,,,平廣溪,3,,,,新北市,,新店區,,,,,主流,,
,,,平廣溪,3,,,,,,,,,,,,,
,,,幼坑,2,,,,南投縣,,中寮鄉,,,,,主流,,
,,,幼坑,2,,,,南投縣,,中寮鄉,,,,,支流,,
,林務局東勢處,,必坦溪,1,,,,臺中市,,和平區,,大甲溪,,大甲溪,,,
中央管河川,,2370A1,打巴溪,1,#N/A,,,花蓮縣,,卓溪鄉,,秀姑巒溪,,,,,
,,,打比厝溪,2,,,,苗栗縣,,泰安鄉,,,,,支流,,
,,,打比厝溪,2,,,,,,,,,,,,,
,,,打那岸排水,1,,,,宜蘭縣,,冬山鄉、五結鄉、羅東鎮,,,,冬山河,,縣(市)管區域排水,
中央管河川,第一河川局,256011,打狗溪,6,Q32715331,,,宜蘭縣,,冬山鄉,,蘭陽溪,,,,,
,第一河川局,,打狗溪,6,,,,宜蘭,,,,蘭陽溪,,,,,
,,,打狗溪,6,,,,宜蘭縣,,大同鄉,,,,,主流,,
,,,打狗溪,6,,,,宜蘭縣,,冬山鄉,,,,,主流,,
,,,打狗溪,6,,,,宜蘭縣,,大同鄉,,,,,支流,,
,,,打狗溪,6,,,,宜蘭縣,,冬山鄉,,,,,支流,,
,,,打架埤,1,,,,桃園市,,大園區,,,,,主流,,
中央管河川,第二河川局,135061,打馬溝溪,1,Q64358791,,,苗栗縣,,公館鄉,,後龍溪,,,,,
,,,打鹿坑,1,,,,苗栗縣,,公館鄉,,,,,支流,,
,,,打落馬溪,2,,,,花蓮縣,,瑞穗鄉,,,,,支流,,
,,,打落馬溪,2,,,,,,,,,,,,,
,,,打廓溪,3,,,,高雄市,,內門區,,,,,主流,,
,,,打廓溪,3,,,,高雄市,,田寮區,,,,,主流,,
,,,打廓溪,3,,,,高雄市,,"田寮區,內門區",,,,,支流,,
,,,打鐡坑溪,1,,,,,,,,,,,,,
,,,打鐵坑,4,,,,臺中市,,"東勢區,和平區",,大甲溪,,,支流,,
,,,打鐵坑,4,,,,臺中市,,和平區,,大甲溪,,崑崙坑,主流,,
,,,打鐵坑,4,,,,臺中市,,東勢區,,大甲溪,,沙連溪,,,
,,,打鐵坑,4,,,,苗栗縣,,卓蘭鎮,,,,,支流,,
,,,打鐵坑支線排水,1,,,,苗栗縣,,卓蘭鎮,,,,老庄溪,,縣(市)管區域排水,
,,,打鐵坑溪,4,,,,高雄市,,六龜區,,,,,支流,,
,,,打鐵坑溪,4,,,,苗栗縣,,西湖鄉,,,,,支流,,
,,,打鐵坑溪,4,,,,桃園市,,龍潭區,,,,,支流,,
,,,打鐵坑溪,4,,,,苗栗縣,,西湖鄉,,,,,主流,,
,,,打鐵溪幹線,1,,,,桃園市,,龍潭區,,,,大漢溪,,直轄市管區域排水,
,,,末尾坑,1,,,,宜蘭縣,,頭城鎮,,,,,支流,,
,,,本淵寮排水,1,,,,臺南市,,安南區,,,,海尾寮排水,,直轄市管區域排水,
,,,本部溪,1,,,,,,,,,,,,,
,,,本館埤,1,,,,高雄市,,三民區,,,,,主流,,
,,,本館排水,1,,,,高雄市,,鳥松區,,,,仁愛河,,直轄市管區域排水,
,,,本館排水溝,1,,,,高雄市,,三民區,,,,,支流,,
,,,民生排水,1,,,,宜蘭縣,,礁溪鄉,,,,得子口溪,,縣(市)管區域排水,
,,,民和水圳,1,,,,南投縣,,信義鄉,,,,,支流,,
,,,民和街排水,1,,,,新北市,,樹林區,,,,大漢溪,,直轄市管區域排水,
,,,民治溪,3,,,,屏東縣,,"竹田鄉,潮州鎮,崁頂鄉",,,,,主流,,
,,,民治溪,3,,,,屏東縣,,崁頂鄉,,,,,支流,,
,,,民治溪,3,,,,屏東縣,,潮州鎮,,,,,支流,,
,,,民治溪排水幹線,1,,,,屏東縣,,潮州鎮,,,,東港溪,,縣(市)管區域排水,
,,,民雄工業區排水,1,,,,嘉義市,,,,,,朴子溪,,縣(市)管區域排水,
,,,民雄排水路,1,,,,嘉義縣,,新港鄉、民雄鄉,,,,埤子頭排水路,,縣(市)管區域排水,
,,,永安工業區區內及區外排水,1,,,,高雄市,,永安區,,,,阿公店溪,,直轄市管區域排水,
,,,永安支線排水,1,,,,高雄市,,永安區,,,,北溝排水,,直轄市管區域排水,
,,,永安漁港,1,,,,桃園市,,新屋區,,,,,主流,,
,,,永和山水庫,1,,,,苗栗縣,,三灣鄉,,,,,主流,,
,,,永定厝中排,1,,,,雲林縣,,二崙鄉,,,,大義崙大,,縣(市)管區域排水,
跨省市河川,,11402N,永定溪,3,#N/A,,,新北市,,石碇區,,淡水河(新店溪),,,,,
,,,永定溪,3,,,,新北市,,石碇區,,,,,,,
,,,永定溪,3,,,,新北市,,石碇區,,,,,,,
,,,永康排水,1,,,,臺南市,,永康區,,,,鹽水溪,,直轄市管區域排水,
,,,永隆溝排水,1,,,,臺南市,,北門區,,,,頭港排水,,直轄市管區域排水,
,,,永新支線排水,1,,,,高雄市,,永安區,,,,永安支線,,直轄市管區域排水,
,,,永福溪幹線,1,,,,桃園市,,大溪區,,,,大漢溪,,直轄市管區域排水,
,,,永樂排水,1,,,,臺東縣,,台東市,,,,太平洋,,縣(市)管區域排水,
,,,永豐圳,2,,,,新北市,,新店區,,,,,,,
,,,永豐圳,2,,,,新北市,,新店區,,,,,,,
,,,汀埔圳,2,,,,新竹市,,北區,,,,,,,
,,,汀埔圳,2,,,,新竹市,,香山區,,,,,,,
,,,玄武湖,1,,,,桃園市,,中壢區,,,,,,,
,,,玉山中排二,1,,,,臺南市,,將軍區,,,,山子腳排水,,直轄市管區域排水,
,,,玉水溪,2,,,,臺東縣,,成功鎮,,,,,,,
,,,玉水溪,2,,,,臺東縣,,成功鎮,,,,,,,
跨省市河川,,114018,玉峰溪,1,Q10566543,馬里闊丸溪,,桃園市,,復興區,,淡水河(大漢溪),,,,,
,,,玉桂坑,1,,,,南投縣,,國姓鄉,,,,,,,
,,,玉崙溪,5,,地利溪,,南投縣,,水里鄉,,,,,,,
,,,玉崙溪,5,,地利溪,,南投縣,,信義鄉,,,,,,,
,,,玉崙溪,5,,地利溪,,南投縣,,水里鄉,,,,,,,
,,,玉崙溪,5,,地利溪,,南投縣,,信義鄉,,,,,,,
,,,玉崙溪,5,,地利溪,,,,,,,,,,,
,,,玉穗溪,1,,,,,,,,荖濃溪,,,,,
,,,瓜寮坑溪,1,,,,,,,,,,,,,
,,,瓦崗溪,1,,,,臺東縣,,延平鄉,,,,,,,
,,,瓦硐2號排水路,1,,,,澎湖縣,,白沙鄉,,,,台灣海峽,,縣(市)管區域排水,
,,,瓦黑爾溪,2,,,,花蓮縣,,秀林鄉,,,,,,,
,,,瓦黑爾溪,2,,,,花蓮縣,,秀林鄉,,,,,,,
,林務局嘉義處,,瓦嘟嘟那溪,1,,,,嘉義縣,,,,阿里山溪,,,,,
,,,瓦瑤埤排水,1,,,,臺南市,,六甲區、官田區,,,,橋頭港埤排水,,直轄市管區域排水,
,,,瓦瑤溪,6,,水尾溪,,臺中市,,大安區,,,,,,,
,,,瓦瑤溪,6,,水尾溪,,臺中市,,大甲區,,,,,,,
,,,瓦瑤溪,6,,水尾溪,,臺中市,,外埔區,,,,,,,
,,,瓦瑤溪,6,,水尾溪,,臺中市,,大甲區,,,,,,,
,,,瓦瑤溪,6,,水尾溪,,臺中市,,外埔區,,,,,,,
,,,瓦瑤溪,6,,水尾溪,,,,,,,,,,,
,,,瓦寮排水,1,,,,臺南市,,學甲區,,,,學甲排水,,直轄市管區域排水,
縣市管河川,新北市水利局,,瓦磘溝,1,,"瓦嗂溝,瓦窯溝,瓦瑤溝",,新北市,,"永和區,中和區",,淡水河(新店溪),,,,,
,,,瓦磘溪,1,,,,,,,,,,,,,
,,,瓦窯埤,3,,,,臺南市,,六甲區,,,,,,,
,,,瓦窯埤,3,,,,臺南市,,官田區,,,,,,,
,,,瓦窯埤,3,,,,桃園市,,蘆竹區,,,,,,,
