溪流分級,主管機關,河川代碼,溪流名稱,"重名
數量",溪流wikiID,別名,上級,"所在縣市
（以 ,分隔）","縣市
wikidata ID","所在鄉鎮區
（以 ,分隔）",鄉鎮區wiki ID,水系,"流入水域
（wikiID)",流入,"主流
or
支流",,
,,,二重溪,8,,,,臺中市,,北屯區,,,,旱溪,,直轄市管區域排水,
,,,二重溪,8,,,,屏東縣,,里港鄉,,,,,主流,,
,,,二重溪,8,,,,高雄市,,旗山區,,,,,主流,,
,,,二重溪,8,,,,臺中市,,"北區,北屯區,太平區,潭子區",,,,,主流,,
,,,二重溪,8,,,,桃園市,,楊梅區,,,,,主流,,
,,,二重溪,8,,,,臺中市,,"北屯區,潭子區,北區,太平區",,,,,支流,,
,,,二重溪,8,,,,屏東縣,,里港鄉,,,,,支流,,
,,,二重溪,8,,,,桃園市,,楊梅區,,,,,支流,,
,,,二重嶺溪,2,,,,臺南市,,龍崎區,,,,,支流,,
,,,二重嶺溪,2,,,,臺南市,,龍崎區,,,,,主流,,
,,,二崁2號排水路,1,,,,澎湖縣,,西嶼鄉,,,,台灣海峽,,縣(市)管區域排水,
,,,二崁3號排水路,1,,,,澎湖縣,,西嶼鄉,,,,台灣海峽,,縣(市)管區域排水,
,,,二埤,1,,,,桃園市,,龍潭區,,,,,主流,,
,,,二崙大排,1,,,,雲林縣,,二崙鄉、西螺鎮,,,,田尾大排,,縣(市)管區域排水,
,,,二湖坑排水,1,,,,苗栗縣,,西湖鄉、後龍鎮,,,,西湖溪,,縣(市)管區域排水,
,,,二結排水,1,,,,宜蘭縣,,五結鄉,,,,五結排水,,縣(市)管區域排水,
,,,二溪,1,,,,雲林縣,,古坑鄉,,,,,支流,,
,,,二號溪,1,,,,南投縣,,信義鄉,,,,,支流,,
,,,二寮坑,1,,,,苗栗縣,,造橋鄉,,,,,支流,,
,,,二寮溪,4,,,,嘉義縣,,大埔鄉,,,,,主流,,
,,,二寮溪,4,,,,高雄市,,那瑪夏區,,,,,主流,,
,,,二寮溪,4,,,,嘉義縣,,大埔鄉,,,,,支流,,
,,,二寮溪,4,,,,高雄市,,那瑪夏區,,,,,支流,,
,,,二龍河,1,,,,宜蘭縣,,頭城鎮,,得子口溪,,竹安溪,,,
,,,二龍排水,1,,,,宜蘭縣,,礁溪鄉,,,,得子口溪,,縣(市)管區域排水,
,,,二櫃溪,2,,,,臺中市,,新社區,,,,,支流,,
,,,二櫃溪,2,,,,臺中市,,新社區,,,,,主流,,
,,,二鬮溪,1,Q64827470,,,新北市,,三峽區,,淡水河(大漢溪),,,主流,,
,,,入莊圳,1,,,,臺中市,,東勢區,,,,,支流,,
,,,八分寮溪,1,,,,新北市,,瑞芳區,,,,基隆河,,直轄市管區域排水,
,,,八尺門港,1,,,,基隆市,,中正區,,,,,主流,,
縣市管河川,,107000,八甲溪,1,Q10892312,,,新北市,,"石門區,三芝區",,八甲溪,,,,,
,,,八甲頭新埤支線,1,,,,屏東縣,,林邊鄉、南州鄉,,,,林邊排水幹線,,縣(市)管區域排水,
,,,八老爺排水,1,,,,臺南市,,柳營區,,,,龜仔港排水,,直轄市管區域排水,
,,,八角坑,2,,,,苗栗縣,,獅潭鄉,,,,,支流,,
,,,八角坑,2,,,,苗栗縣,,獅潭鄉,,,,,主流,,
,,,八角林河,2,,,,苗栗縣,,獅潭鄉,,,,,支流,,
,,,八角林河,2,,,,苗栗縣,,獅潭鄉,,,,,主流,,
,,,八角亭大排,1,,,,雲林縣,,二崙鄉、崙背鄉,,,,濁水溪,,縣(市)管區域排水,
,,,八角亭第二放水路,1,,,,雲林縣,,二崙鄉,,,,八角亭大排,,縣(市)管區域排水,
,,,八角塘,1,,,,桃園市,,平鎮區,,,,,主流,,
,,,八里溪,1,Q10892491,,,臺東縣,,東河鄉,,八里溪,,,支流,,
,,,八卦力溪,2,,,,苗栗縣,,泰安鄉,,,,,主流,,
