程式指引,file_type,local_file,encoding,projection,url
略,KML,129296-海堤圖框.kml,utf-8,3826,https://gic.wra.gov.tw/gis/gic/API/Google/DownLoad.aspx?fname=emframe&filetype=KML
,SHP,9823-河川流域範圍圖.shp,utf-8,3826,https://gic.wra.gov.tw/gis/gic/API/Google/DownLoad.aspx?fname=BASIN&filetype=SHP
