WGS84_EP,WGS84_NP,TSP_EMI,PM_EMI,X_BLANK1,PM25_EMI,SOX_EMI,NOX_EMI,THC_EMI,NMHC_EMI,CO_EMI,PB_EMI,WGS84_E,WGS84_N,ORI_QU1,DIA,HEI,TEMP,VEL,HD1,DW1,WY1,X_BLANK7,X_BLANK10,X_BLANK11,TSP_EFF,TSP_EFF1,SOX_EFF,NOX_EFF,VOC_EFF,CO_EFF,PB_EFF,ZS
118.39,24.44,3.9450000000000003,3.753,0.0,3.665,1.476,296.974,0.5099999999999999,0.3860000000000001,0.0,0.0,3788.4324999999985,782.0331399999998,1816.6999999999998,4.739999999999999,56.0,1953,169.1,768,224,1560,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
118.4,24.46,0.0,0.0,0.0,0.0,0.0,0.0,1.5510000000000002,1.536,0.0,0.0,355.19757000000004,73.37702999999999,0.0,0.0,0.0,0,0.0,24,15,144,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
118.41,24.44,0.156,0.131,0.0,0.09500000000000003,0.0,0.0,0.0,0.0,0.0,0.0,4144.262920000002,855.2478100000003,97.00000000000001,4.47,180.0,3500,73.19999999999997,362,189,1542,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
118.43,24.43,13.551999999999996,7.857,0.0,5.342,1.184,1.472,34.753,27.485,0.345,0.0,10184.999080000014,2101.236219999999,175.8,6.3199999999999985,196.1,1376,14.8,1851,584,4032,0,0,0,875.0,0.0,0.0,0.0,85.0,0.0,0.0,0
118.43,24.44,4.661,2.586,0.0,1.7359999999999998,0.02,0.03,0.149,0.1,0.0,0.0,4855.660329999999,1001.9391799999997,1140.8,6.079999999999999,208.0,1376,44.199999999999996,824,276,1960,0,0,0,1174.08,0.0,0.0,0.0,0.0,0.0,0.0,0
118.43,24.46,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.10700000000000001,0.0,0.0,473.70345,97.83914000000001,15.0,0.6,12.0,120,0.9,42,23,174,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
118.44,24.44,0.016,0.006,0.0,0.006,0.136,0.198,0.042,0.032,0.049999999999999996,0.0,473.77986,97.77028000000001,117.19999999999999,1.2,44.2,573,15.4,57,24,118,0,0,0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0
118.44,24.45,13.940999999999999,7.597999999999998,0.0,5.121999999999999,0.0,0.0,0.278,0.231,0.0,0.0,11725.869370000011,2420.5346600000007,22.0,4.32,424.0,2620,12.900000000000006,1774,652,4734,0,0,0,2060.0,0.0,0.0,0.0,0.0,0.0,0.0,0
118.45,24.45,1.464,0.792,0.0,0.523,0.0,0.0,0.192,0.159,0.0,0.0,3316.509,684.6580200000003,15.0,0.6,10.0,100,0.9,653,194,1344,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.32,23.4,0.5780000000000001,0.55,0.0,0.537,0.402,9.034,0.74,0.498,1.31,0.0,596.58998,116.99647000000002,26.799999999999997,0.46,12.0,400,44.5,49,35,256,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.42,23.19,2.694,2.5620000000000003,0.0,2.501,0.492,63.599000000000004,0.14400000000000002,0.098,31.581,0.0,1074.7983600000002,208.74588999999997,376.3,2.1399999999999997,67.8,1534,98.7,216,55,371,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.51,23.26,0.472,0.44899999999999995,0.0,0.43799999999999994,0.416,6.843,0.771,0.519,1.3639999999999999,0.0,478.04974,93.02624999999999,9.7,0.4,6.0,300,12.3,44,28,204,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.51,23.27,0.026999999999999996,0.026999999999999996,0.0,0.024,0.0,0.5309999999999999,0.001,0.001,0.0,0.0,478.03034,93.07512,2.0999999999999996,0.44999999999999996,9.0,300,2.0999999999999996,48,28,204,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
