UTME,UTMN,EM_TSP,EM_PM,EM_PM6,EM_PM25,EM_SOX,EM_NOX,EM_THC,EM_NMHC,EM_EXHC,EM_EHC,EM_RHC,EM_RST,EM_CO,EM_PB,EM_NH3
155000,2549000,0.164776,0.11232099999999999,0.0,0.08932900000000002,0.0007580000000000001,0.8080939999999999,0.8945749999999999,0.8276879999999999,0.514815,0.097146,0.10794199999999998,0.17467000000000002,2.425528,0.00011300000000000001,0.0
155000,2550000,0.389554,0.26554900000000004,0.0,0.21118999999999993,0.0017970000000000002,1.9104610000000002,2.114915,1.9567859999999995,1.217104,0.22966999999999999,0.255195,0.41294800000000004,5.734335000000001,0.00026900000000000003,0.0
155000,2551000,0.27718700000000007,0.18894899999999998,0.0,0.150271,0.0012800000000000003,1.359379,1.504857,1.392341,0.866024,0.16342099999999998,0.18158000000000005,0.29383099999999995,4.080232,0.00019099999999999998,0.0
155000,2556000,0.392553,0.26759200000000005,0.0,0.21281699999999998,0.0018120000000000002,1.9251730000000007,2.131197,1.9718520000000002,1.2264740000000003,0.231439,0.257158,0.416127,5.778485999999999,0.0002710000000000001,0.0
155000,2557000,0.236707,0.161355,0.0,0.12832600000000002,0.0010930000000000002,1.160876,1.2851099999999998,1.1890240000000003,0.739561,0.13955799999999996,0.155066,0.250923,3.484416,0.00016299999999999998,0.0
155000,2558000,0.14114000000000004,0.09620899999999999,0.0,0.076519,0.0006510000000000001,0.6921789999999999,0.766258,0.7089660000000001,0.44097000000000003,0.08321200000000001,0.09245800000000001,0.149616,2.077609,9.6e-05,0.0
156000,2549000,0.4594720000000001,0.31320799999999993,0.0,0.249095,0.002121,2.2533679999999996,2.4945139999999997,2.3080049999999996,1.4355580000000001,0.270893,0.300997,0.487068,6.763572,0.00031600000000000004,0.0
156000,2550000,0.4599470000000001,0.313531,0.0,0.249351,0.002124,2.2556899999999995,2.4970930000000005,2.3103889999999994,1.43704,0.271171,0.3013079999999999,0.487572,6.770557000000001,0.000317,0.0
156000,2551000,0.377166,0.25710600000000006,0.0,0.204475,0.0017410000000000001,1.8497099999999997,2.0476629999999996,1.89456,1.178401,0.222367,0.24707799999999996,0.399818,5.551983000000001,0.0002600000000000001,0.0
156000,2552000,0.208475,0.14211,0.0,0.11302100000000001,0.0009589999999999999,1.022402,1.131818,1.0471960000000002,0.651346,0.12291,0.13656900000000002,0.220994,3.068784,0.00014499999999999997,0.0
156000,2553000,0.014518000000000001,0.010204000000000001,0.0,0.008248999999999998,5.7999999999999994e-05,0.074275,0.038862,0.03565200000000001,0.019338000000000008,0.007503999999999999,0.008151,0.003869,0.10227399999999996,7e-06,0.0
156000,2554000,0.29919500000000004,0.20816699999999996,0.0,0.167391,0.0012499999999999998,1.479273,1.0048280000000003,0.9270140000000001,0.5230279999999999,0.16201999999999997,0.159822,0.15995699999999996,2.506339999999999,0.00017199999999999995,0.0
156000,2555000,0.4469230000000001,0.3087770000000001,0.0,0.2473600000000001,0.0019419999999999997,2.211139,1.839861,1.6992990000000001,1.00838,0.24944200000000002,0.26189700000000005,0.3201429999999999,4.820045000000001,0.00027500000000000007,0.0
156000,2556000,0.304691,0.211823,0.0,0.17024900000000004,0.0012869999999999997,1.5136089999999998,1.0677679999999998,0.984936,0.5640610000000001,0.16558799999999999,0.16873,0.16939099999999999,2.7266770000000005,0.00017599999999999997,0.0
156000,2557000,0.45391000000000004,0.3135420000000001,0.0,0.25115,0.001974,2.245406,1.8781189999999999,1.734701,1.0304260000000003,0.253574,0.26648999999999995,0.327639,4.923850999999999,0.0002800000000000001,0.0
156000,2558000,0.40233399999999997,0.27838300000000005,0.0,0.223189,0.0017369999999999994,1.9924829999999996,1.5980440000000002,1.4755630000000004,0.8692409999999997,0.22316100000000003,0.23270399999999994,0.272941,4.164485999999999,0.00024299999999999994,0.0
156000,2559000,0.268938,0.18748400000000007,0.0,0.150915,0.001122,1.338447,0.8685839999999997,0.8006149999999997,0.448995,0.14438600000000001,0.145046,0.13015599999999997,2.185192000000001,0.00015199999999999998,0.0
156000,2560000,0.26692799999999994,0.18607800000000005,0.0,0.149782,0.0011109999999999998,1.3283540000000003,0.8624469999999999,0.794967,0.44585700000000006,0.143321,0.14394599999999996,0.12932099999999996,2.169552999999999,0.00015099999999999998,0.0
156000,2561000,0.454874,0.31800700000000004,0.0,0.25636099999999995,0.0018919999999999994,2.285537000000001,1.3831980000000001,1.2731430000000006,0.706989,0.24111600000000002,0.248756,0.18633599999999997,3.5280530000000003,0.000251,0.0
156000,2562000,0.26891499999999996,0.18747900000000006,0.0,0.150918,0.001123,1.3386830000000003,0.8670879999999997,0.7992090000000002,0.4480950000000001,0.144322,0.14508899999999997,0.12958499999999995,2.1822219999999994,0.00015199999999999998,0.0
156000,2563000,0.237604,0.16563600000000003,0.0,0.13332800000000009,0.0009929999999999997,1.18248,0.7674060000000001,0.70736,0.396697,0.127567,0.128141,0.115002,1.9306370000000008,0.000135,0.0
156000,2565000,0.32674,0.22272499999999995,0.0,0.17713500000000001,0.001505,1.6024,1.773886,1.641259,1.020848,0.192637,0.214043,0.3463609999999999,4.809673,0.000225,0.0
156000,2566000,0.303322,0.206765,0.0,0.16443899999999997,0.0014010000000000001,1.4875580000000002,1.6467509999999999,1.523628,0.947683,0.178829,0.19870399999999996,0.321538,4.464967000000001,0.00020800000000000001,0.0
